method,fraction,group,half,run,J,features
copula_mvr,0.5,7,B,half_07_B,0.8461538461538461,"[21, 23, 0, 24, 20, 2, 16, 27, 26, 25, 17, 7]"
copula_mvr,0.5,8,A,half_08_A,0.6,"[0, 20, 23, 21, 24, 27, 16, 2, 10, 28, 17, 29]"
copula_mvr,0.5,8,B,half_08_B,0.8461538461538461,"[21, 0, 23, 20, 27, 16, 17, 24, 25, 7, 22, 2]"
copula_mvr,0.5,9,A,half_09_A,0.7142857142857143,"[0, 23, 21, 24, 20, 16, 27, 26, 25, 2, 13, 7]"
copula_mvr,0.5,9,B,half_09_B,0.8461538461538461,"[23, 0, 21, 24, 27, 16, 20, 17, 2, 9, 22, 26]"
copula_mvr,0.5,10,A,half_10_A,0.7142857142857143,"[0, 23, 21, 20, 24, 27, 16, 17, 22, 2, 8, 9]"
copula_mvr,0.5,10,B,half_10_B,0.8461538461538461,"[21, 0, 23, 20, 27, 24, 2, 26, 16, 25, 22, 17]"
copula_mvr,0.5,11,A,half_11_A,0.8461538461538461,"[23, 0, 21, 24, 27, 2, 17, 20, 16, 22, 10, 26]"
copula_mvr,0.5,11,B,half_11_B,0.6,"[0, 21, 23, 20, 25, 16, 1, 27, 24, 17, 7, 11]"
copula_mvr,0.5,12,A,half_12_A,0.8461538461538461,"[23, 0, 24, 21, 2, 16, 27, 17, 22, 20, 26, 10]"
copula_mvr,0.5,12,B,half_12_B,0.6,"[0, 21, 23, 20, 24, 27, 8, 16, 22, 28, 25, 17]"
copula_mvr,0.5,13,A,half_13_A,0.8461538461538461,"[21, 0, 24, 23, 27, 16, 17, 20, 9, 22, 7, 2]"
copula_mvr,0.5,13,B,half_13_B,0.7142857142857143,"[0, 21, 23, 20, 24, 27, 16, 2, 8, 17, 22, 13]"
copula_mvr,0.5,14,A,half_14_A,0.7142857142857143,"[21, 0, 23, 24, 16, 26, 2, 17, 20, 25, 27, 5]"
copula_mvr,0.5,14,B,half_14_B,0.6,"[0, 23, 21, 24, 27, 20, 28, 16, 9, 7, 2, 12]"
copula_mvr,0.5,15,A,half_15_A,0.6,"[0, 23, 21, 20, 24, 27, 17, 16, 26, 9, 10, 30]"
