method,scene,rep,rule,theory_regime,nominal_invalid_control,FDP,power,size,false_count,rmse
xgb_naive,global_null,7,native,True,True,0.0,,0,0,1.0103972487187922
xgb_naive,global_null,7,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,7,top12,True,False,1.0,,12,12,1.0339932237609248
xgb_midpoint,global_null,7,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
xgb_midpoint,global_null,7,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,7,top12,True,False,1.0,,12,12,1.031772726560239
xgb_orbit,global_null,7,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
xgb_orbit,global_null,7,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,7,top12,True,False,1.0,,12,12,1.031772726560239
xgb_orbit_student,global_null,7,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
xgb_orbit_student,global_null,7,native10,True,False,0.0,,0,0,
tabm_naive,global_null,7,top12,True,True,1.0,,12,12,1.0302437618666165
tabm_naive,global_null,7,top8,True,True,1.0,,8,8,
tabm_naive,global_null,7,native,True,True,0.0,,0,0,1.0103972487187922
tabm_naive,global_null,7,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,7,top12,True,False,1.0,,12,12,1.0322910168088446
tabm_midpoint,global_null,7,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
tabm_midpoint,global_null,7,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,7,top12,True,False,1.0,,12,12,1.0357967726678563
tabm_orbit,global_null,7,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
tabm_orbit,global_null,7,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,7,top12,True,False,1.0,,12,12,1.0357967726678563
tabm_orbit_student,global_null,7,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
tabm_orbit_student,global_null,7,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,8,top12,True,False,1.0,,12,12,0.9742441921626134
lasso_pair_q20,global_null,8,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,8,native,True,False,0.0,,0,0,0.9499786712875914
lasso_pair_q20,global_null,8,native10,True,False,0.0,,0,0,
