method,fraction,group,run,native_size
tabm_sko_quad_scale,0.5,27,half_27_A,15.0
xgb_sko_ridge,0.5,27,half_27_B,0.0
xgb_sko_quad,0.5,27,half_27_B,5.0
xgb_sko_scale,0.5,27,half_27_B,0.0
xgb_sko_quad_scale,0.5,27,half_27_B,0.0
tabm_sko_ridge,0.5,27,half_27_B,0.0
tabm_sko_quad,0.5,27,half_27_B,0.0
tabm_sko_scale,0.5,27,half_27_B,0.0
tabm_sko_quad_scale,0.5,27,half_27_B,0.0
xgb_sko_ridge,0.5,28,half_28_A,0.0
xgb_sko_quad,0.5,28,half_28_A,5.0
xgb_sko_scale,0.5,28,half_28_A,0.0
xgb_sko_quad_scale,0.5,28,half_28_A,22.0
tabm_sko_ridge,0.5,28,half_28_A,0.0
tabm_sko_quad,0.5,28,half_28_A,10.0
tabm_sko_scale,0.5,28,half_28_A,5.0
tabm_sko_quad_scale,0.5,28,half_28_A,6.0
xgb_sko_ridge,0.5,28,half_28_B,0.0
xgb_sko_quad,0.5,28,half_28_B,0.0
xgb_sko_scale,0.5,28,half_28_B,0.0
xgb_sko_quad_scale,0.5,28,half_28_B,0.0
tabm_sko_ridge,0.5,28,half_28_B,0.0
tabm_sko_quad,0.5,28,half_28_B,0.0
tabm_sko_scale,0.5,28,half_28_B,0.0
tabm_sko_quad_scale,0.5,28,half_28_B,0.0
xgb_sko_ridge,0.5,29,half_29_A,0.0
xgb_sko_quad,0.5,29,half_29_A,6.0
xgb_sko_scale,0.5,29,half_29_A,0.0
xgb_sko_quad_scale,0.5,29,half_29_A,5.0
tabm_sko_ridge,0.5,29,half_29_A,0.0
tabm_sko_quad,0.5,29,half_29_A,0.0
tabm_sko_scale,0.5,29,half_29_A,0.0
tabm_sko_quad_scale,0.5,29,half_29_A,6.0
xgb_sko_ridge,0.5,29,half_29_B,11.0
xgb_sko_quad,0.5,29,half_29_B,0.0
xgb_sko_scale,0.5,29,half_29_B,0.0
xgb_sko_quad_scale,0.5,29,half_29_B,0.0
tabm_sko_ridge,0.5,29,half_29_B,15.0
tabm_sko_quad,0.5,29,half_29_B,10.0
tabm_sko_scale,0.5,29,half_29_B,16.0
tabm_sko_quad_scale,0.5,29,half_29_B,10.0
xgb_sko_ridge,0.7,0,f70_00,0.0
xgb_sko_quad,0.7,0,f70_00,19.0
xgb_sko_scale,0.7,0,f70_00,0.0
xgb_sko_quad_scale,0.7,0,f70_00,18.0
tabm_sko_ridge,0.7,0,f70_00,0.0
tabm_sko_quad,0.7,0,f70_00,13.0
tabm_sko_scale,0.7,0,f70_00,0.0
tabm_sko_quad_scale,0.7,0,f70_00,13.0
xgb_sko_ridge,0.7,1,f70_01,0.0
xgb_sko_quad,0.7,1,f70_01,0.0
xgb_sko_scale,0.7,1,f70_01,0.0
xgb_sko_quad_scale,0.7,1,f70_01,0.0
tabm_sko_ridge,0.7,1,f70_01,0.0
tabm_sko_quad,0.7,1,f70_01,0.0
tabm_sko_scale,0.7,1,f70_01,0.0
tabm_sko_quad_scale,0.7,1,f70_01,0.0
xgb_sko_ridge,0.7,2,f70_02,0.0
xgb_sko_quad,0.7,2,f70_02,0.0
xgb_sko_scale,0.7,2,f70_02,0.0
xgb_sko_quad_scale,0.7,2,f70_02,0.0
tabm_sko_ridge,0.7,2,f70_02,0.0
tabm_sko_quad,0.7,2,f70_02,0.0
tabm_sko_scale,0.7,2,f70_02,0.0
tabm_sko_quad_scale,0.7,2,f70_02,0.0
xgb_sko_ridge,0.7,3,f70_03,0.0
xgb_sko_quad,0.7,3,f70_03,0.0
xgb_sko_scale,0.7,3,f70_03,0.0
xgb_sko_quad_scale,0.7,3,f70_03,0.0
tabm_sko_ridge,0.7,3,f70_03,10.0
tabm_sko_quad,0.7,3,f70_03,0.0
tabm_sko_scale,0.7,3,f70_03,7.0
tabm_sko_quad_scale,0.7,3,f70_03,5.0
xgb_sko_ridge,0.7,4,f70_04,0.0
xgb_sko_quad,0.7,4,f70_04,17.0
xgb_sko_scale,0.7,4,f70_04,0.0
xgb_sko_quad_scale,0.7,4,f70_04,0.0
